INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
merry	kerry	merry dress	kerry dress	no	99.94%
перед	передня	aristo подрамник перед	aristo подрамник передня	no	99.00%
penn	pen	penn commander 30	pen commander 30	yes	97.81%
безконтактная	бесконтактная	безконтактная сушка	бесконтактная сушка	yes	99.99%
bizhab	bizhub	konica bizhab	konica bizhub	yes	99.97%
bosh	bosch	люк от bosh maxx5	люк от bosch maxx5	yes	82.61%
папа	пара	obd2 папа	obd2 пара	no	99.41%
asta	astra	opel asta	opel astra	yes	99.89%
hundai	hyundai	бампер hundai solaris	бампер hyundai solaris	yes	99.98%
бассет	рассел	бассет вязка	рассел вязка	no	96.84%
reg	red	4gb ecc reg	4gb ecc red	no	91.15%
kicx	kia	kicx gt400ba	kia gt400ba	no	80.13%
cruz	cruze	crocs santa cruz	crocs santa cruze	yes	98.10%
красоты	работы	аренда салона красоты	аренда салона работы	no	99.50%
бенз	без	mercedes бенз sprinter	mercedes без sprinter	no	99.99%
абмен	обмен	авто абмен на газа реф	авто обмен на газа реф	yes	99.14%
k-swiss	swiss	k-swiss	swiss	no	99.68%
aphone	ipone	aphone 6 plus	ipone 6 plus	yes	55.10%
бош	бак	бош 5-40	бак 5-40	no	99.40%
jghscrbdfntkm	опрыскиватель	jghscrbdfntkm	опрыскиватель	yes	99.99%
донская	доска	большая донская 15	большая доска 15	no	98.97%
pantera	pandora	pantera slk-675	pandora slk-675	no	99.96%
perega	perego	peg perega 2 в 1	peg perego 2 в 1	yes	70.48%
варота	ворота	арка для варота	арка для ворота	yes	97.07%
trans	grand	pontiac trans am	pontiac grand am	no	99.99%
candy	camry	candy посудомойкой	camry посудомойкой	no	99.96%
аккомулятор	аккумулятор	аккомулятор 100а	аккумулятор 100а	yes	95.99%
blues	plus	livin blues blue breeze	livin plus blue breeze	no	87.67%
sauconi	saucony	sauconi	saucony	yes	99.87%
nicon	nikon	nicon coolpix p900	nikon coolpix p900	yes	99.99%
kicx	kia	kicx rst 4 100	kia rst 4 100	no	73.06%
gbl	jbl	gbl колонки	jbl колонки	no	89.33%
кози	коза	адаптер макси кози на стокки	адаптер макси коза на стокки	no	92.21%
манитор	монитор	автомагнитола 1 дин манитор	автомагнитола 1 дин монитор	yes	99.99%
кулиса	колеса	bmw кулиса	bmw колеса	no	75.90%
футов	кузов	аэрохоккей 7 футов	аэрохоккей 7 кузов	no	99.12%
lady	lada	stinger cruiser nexus lady 26	stinger cruiser nexus lada 26	no	54.13%
rotari	rotary	rotari	rotary	yes	95.11%
дифузор	диффузоры	bmw f26 дифузор	bmw f26 диффузоры	no	98.46%
matik	matic	w211 4 matik	w211 4 matic	yes	87.47%
volta	delta	volta cs-6t	delta cs-6t	no	99.99%
clash	crash	аккаунт clash of clans	аккаунт crash of clans	no	99.96%
муссо	мусор	бампер на санг енг муссо	бампер на санг енг мусор	no	98.95%
zed	led	zed	led	no	87.02%
premier	premium	baxi premier	baxi premium	no	84.81%
harier	harrier	harier	harrier	no	74.46%
материнка	материнская	ddr 2 материнка	ddr 2 материнская	yes	63.57%
jsb	usb	jsb 1cx	usb 1cx	yes	77.53%
целиндра	цилиндра	toyota camry блок целиндра	toyota camry блок цилиндра	yes	94.00%
соул	стул	соул рычаг передний	стул рычаг передний	no	55.21%
kit	kia	fujifilm x-a3 kit	fujifilm x-a3 kia	no	98.88%
ока	киа	r13 ока	r13 киа	no	98.97%
qucksilver	quicksilver	qucksilver	quicksilver	yes	99.98%
бензо	бензин	бензо пила	бензин пила	no	99.79%
net	next	1 4 net	1 4 next	yes	59.89%
waw	way	waw	way	yes	67.93%
rent	rant	apartment to rent monthly	apartment to rant monthly	no	98.18%
tenergy	energy	tenergy	energy	no	98.75%
аккустика	акустика	автомобильная аккустика	автомобильная акустика	yes	99.98%
решотка	решётки	jetta решотка бампера	jetta решётки бампера	yes	99.98%
супорт	суппорт	toyota land cruiser 200 супорт	toyota land cruiser 200 суппорт	no	80.37%
зис	зил	авто зис 5	авто зил 5	no	87.18%
open	opel	open-apartaments	opel-apartaments	no	99.46%
антены	антенна	антены 4g	антенна 4g	yes	99.99%
аккамулятор	аккумуляторы	аккамулятор тяговый	аккумуляторы тяговый	yes	99.94%
molo	polo	molo ветровка новая	polo ветровка новая	yes	72.26%
pull	polo	pull	polo	no	99.99%
богажник	багажника	богажник форд	багажника форд	no	93.38%
бра	пара	бра металлический	пара металлический	no	95.98%
аммортизаторы	амортизаторы	аммортизаторы форд мондео 4	амортизаторы форд мондео 4	yes	99.99%
swatch	watch	браслет для swatch	браслет для watch	no	56.84%
как	ока	айфон 6 как новый анапа	айфон 6 ока новый анапа	no	99.99%
word	ford	word обучение	ford обучение	no	99.54%
ada	lada	ada 3d liner новый	lada 3d liner новый	no	98.78%
биметалические	биметаллические	биметалические монеты	биметаллические монеты	yes	99.99%
панарамная	панорамная	qashqai панарамная крыша	qashqai панорамная крыша	yes	77.09%
jcm	ось	marshall jcm 800	marshall ось 800	no	72.46%
басаножки	босоножки	басаножки танкетке	босоножки танкетке	yes	99.97%
tone	one	chroma tone	chroma one	no	75.37%
bmv	bmw	bmv автомобили	bmw автомобили	no	67.24%
береста	береза	береста лист	береза лист	no	99.95%
запаски	запчасти	pajero mini колпак запаски	pajero mini колпак запчасти	no	99.99%
стоп	стол	honda cbr 600 rr стоп	honda cbr 600 rr стол	no	91.36%
альфард	альфа	альфард разбор	альфа разбор	no	99.99%
аккардеоны	аккордеоны	аккардеоны	аккордеоны	yes	95.01%
sub	usb	db sub 18	db usb 18	no	99.99%
фанари	фонарик	gle w292 фанари стопы	gle w292 фонарик стопы	yes	99.96%
стоп	стол	б у стоп на renault logan 2008 года	б у стол на renault logan 2008 года	no	99.69%
ais	ace	nikon nikkor 35 1 4 ais	nikon nikkor 35 1 4 ace	no	58.66%
windom	windows	toyota windom тойота виндом бампер	toyota windows тойота виндом бампер	no	97.02%
бау	бак	бау-а	бак-а	no	93.03%
sparky	spark	sparky m 1050	spark m 1050	yes	98.89%
shkoda	skoda	аренда shkoda oktavia	аренда skoda oktavia	yes	99.65%
аксесуары	аксессуара	аксесуары для телефона	аксессуара для телефона	no	99.97%
henkels	henckels	henkels	henckels	yes	99.99%
ymaha	yamaha	ymaha r6	yamaha r6	yes	99.99%
арочный	сварочный	арочный склад	сварочный склад	yes	94.21%
безказырка	безкозырка	безказырка	безкозырка	yes	99.97%
subary	subaru	subary brz	subaru brz	yes	99.99%
амартизаторы	амортизатора	амартизаторы на renegade xmr	амортизатора на renegade xmr	yes	99.99%
алек	алекс	алек	алекс	no	69.79%
сузуки	сумки	бампер сузуки витара 1	бампер сумки витара 1	no	99.33%
bmz	bmw	aiwa bmz	aiwa bmw	no	96.42%
wolksvagen	volkswagen	wolksvagen caddy мкпп jjt	volkswagen caddy мкпп jjt	yes	65.21%
jolli	jolly	jolli	jolly	yes	98.41%
жестяншик	жестянщик	автомаляр жестяншик	автомаляр жестянщик	yes	98.79%
kay	kia	mary kay тональный	mary kia тональный	no	99.99%
дверца	двери	дверца бардачка bmw x5	двери бардачка bmw x5	no	54.32%
kavasaki	kawasaki	kavasaki zx	kawasaki zx	yes	99.99%
vit	vitz	blitz r vit	blitz r vitz	no	87.89%
боек	баек	боек	баек	yes	52.33%
tuareg	touareg	volkswagen tuareg 2009	volkswagen touareg 2009	yes	98.84%
коралева	королева	академика коралева 44	академика королева 44	yes	93.67%
bosh	bosch	bosh газовая калонка	bosch газовая калонка	yes	99.49%
уселитель	усилитель	ssangyong actyon new уселитель задний бампер	ssangyong actyon new усилитель задний бампер	yes	99.99%
volswagen	volkswagen	volswagen polo разборка	volkswagen polo разборка	yes	99.82%
ifone	ipone	ifone x	ipone x	no	99.55%
diver	drive	diver оригинал	drive оригинал	no	99.92%
gti	gtx	golf gti 4	golf gtx 4	yes	53.44%
alphine	alpine	alphine	alpine	no	97.47%
ixus	asus	canon ixus 177	canon asus 177	no	79.14%
кватиру	квартира	анапа снять кватиру	анапа снять квартира	yes	100.00%
mitsubisi	mitsubishi	mitsubisi outlander дверь передняя правая	mitsubishi outlander дверь передняя правая	no	60.96%
tsm	tcm	tsm 18	tcm 18	no	99.04%
atr	art	cooper atr	cooper art	yes	62.14%
автомабиль	автомобиль	автомабиль новы быстры больше места	автомобиль новы быстры больше места	yes	99.57%
neva	niva	bestway neva	bestway niva	yes	59.64%
storm	sport	naruto storm 4	naruto sport 4	no	96.78%
gfntajy	патефон	gfntajy	патефон	yes	98.98%
аст	астр	атлас аст	атлас астр	no	73.93%
капитан	капитал	капитан администратор	капитал администратор	no	98.35%
sander	sandero	jil sander 39	jil sandero 39	no	79.32%
котелки	котел	армейские котелки	армейские котел	no	97.75%
gumo	qumo	акб gumo	акб qumo	yes	91.57%
aqua	asus	pocketbook 641 aqua plus	pocketbook 641 asus plus	no	99.84%
tdi	audi	afn 1 9 tdi	afn 1 9 audi	no	82.30%
kymxo	kumho	kymxo solus kh 15	kumho solus kh 15	yes	82.85%
кованные	кожаные	r 13 кованные	r 13 кожаные	yes	92.32%
спейс	спец	бампер митсубиси спейс вагон	бампер митсубиси спец вагон	no	87.64%
mersedes	mercedes	mersedes ml передний 2009	mercedes ml передний 2009	yes	99.34%
cenon	canon	cenon 6d	canon 6d	yes	99.99%
видовая	садовая	видовая квартира 3 комнатная	садовая квартира 3 комнатная	no	97.15%
паралон	поролон	акустический паралон	акустический поролон	yes	90.93%
cjkzhbq	солярий	cjkzhbq	солярий	yes	77.80%
балок	блок	балок сдам	блок сдам	yes	94.49%
hemes	henes	hemes	henes	yes	74.36%
артопедический	ортопедический	артопедический матрац	ортопедический матрац	yes	98.76%
вива	пива	автомойка вива	автомойка пива	no	99.93%
металические	металлических	бочки металические новороссийск	бочки металлических новороссийск	no	94.01%
susuki	suzuki	susuki rm	suzuki rm	yes	94.80%
американск	американский	американск супер	американский супер	yes	99.99%
авс	ваз	блок авс ниссан т31	блок ваз ниссан т31	no	99.01%
vjnjiktv	мотошлем	vjnjiktv	мотошлем	yes	99.99%
cbx	cybex	cbx by cybex free-fix	cybex by cybex free-fix	no	96.65%
huyndai	hyundai	huyndai porter h-100	hyundai porter h-100	yes	99.19%
cbx	cbr	cbx by cybex sors	cbr by cybex sors	no	94.46%
open	opel	hamilton open	hamilton opel	no	87.62%
sister	duster	sister	duster	no	64.77%
rbp	brp	мост от скании rbp 832	мост от скании brp 832	no	96.44%
philip	philips	philip plein комплект	philips plein комплект	yes	83.40%
yamaxa	yamaha	yamaxa 660	yamaha 660	yes	99.97%
tesla	teana	tesla profi	teana profi	yes	56.19%
bobcar	bobcat	bobcar	bobcat	no	93.88%
olexo	oxelo	olexo	oxelo	yes	99.98%
ef-m	ef-s	canon ef-m 22mm f 2 stm	canon ef-s 22mm f 2 stm	no	82.90%
audio	audi	audio technica 120	audi technica 120	no	84.43%
банер	бампер	банер красивый 6 на 3	бампер красивый 6 на 3	no	55.01%
мтм	мтс	tor мтм 3200 3 2 т l 20м	tor мтс 3200 3 2 т l 20м	no	99.45%
mox	mix	yamaha mox	yamaha mix	yes	56.43%
очень	опель	очень дорогой компьютер	опель дорогой компьютер	no	98.83%
cred	ceed	kia cred	kia ceed	yes	99.99%
комби	комод	кия комби стекло	кия комод стекло	no	97.46%
zekiva	zekiwa	zekiva	zekiwa	yes	99.99%
mele	miele	mele f10	miele f10	yes	95.23%
gt-	gt-r	samsung gt-s4 mini	samsung gt-r s4 mini	yes	64.88%
ltd	led	esp ltd f	esp led f	yes	97.20%
абонимент	абонемент	абонимент в sportlife	абонемент в sportlife	yes	99.44%
ise	ice	ise	ice	yes	87.77%
raund	round	raund up	round up	no	64.37%
приус	приму	багажник крышу тойота приус	багажник крышу тойота приму	no	99.59%
igos	iqos	igos держатель	iqos держатель	yes	99.84%
agent	avent	l agent	l avent	no	99.48%
робот	работу	toyota corolla робот 2008	toyota corolla работу 2008	no	99.92%
greco	graco	greco lp	graco lp	yes	71.48%
клыки	ключи	galant 8 клыки	galant 8 ключи	no	60.23%
amp	amd	amp	amd	yes	88.75%
косуха	посуда	бордовая косуха	бордовая посуда	yes	92.40%
canton	canon	canton inceiling	canon inceiling	no	97.53%
акумуляторы	аккумуляторы	б у акумуляторы	б у аккумуляторы	yes	99.99%
valko	valco	valko baby snap ultra	valco baby snap ultra	yes	99.99%
автомеханник	автомеханик	автомеханник автослесарь	автомеханик автослесарь	yes	99.44%
нисан	ниссан	акпп нисан икстреил	акпп ниссан икстреил	yes	99.99%
вита	авито	mercedes вита	mercedes авито	no	81.89%
kido	kiddo	reima kido	reima kiddo	yes	99.97%
razors	razor	razors sl	razor sl	yes	71.64%
хэчбек	хетчбек	kia ceed хэчбек 2008	kia ceed хетчбек 2008	yes	99.99%
doom	tom	ps4 doom	ps4 tom	no	99.99%
forge	force	forge motosport	force motosport	yes	88.45%
легкогого	легкового	автопрцеп для легкогого автомобиля	автопрцеп для легкового автомобиля	yes	97.79%
tt-r	ttr	yamaha tt-r 110	yamaha ttr 110	no	63.79%
летные	летние	ботинки летные высотные	ботинки летние высотные	yes	99.60%
автомобил	автомобилей	автомобил не растаможен	автомобилей не растаможен	no	99.92%
грязевые	грузовые	235 70r16 грязевые	235 70r16 грузовые	yes	62.57%
кондицанеры	кондиционеры	б у кондицанеры	б у кондиционеры	yes	69.15%
audio	audi	audio system x 170 4	audi system x 170 4	no	97.17%
хёндай	хендай	автомобиль хёндай верха в тамбове	автомобиль хендай верха в тамбове	no	99.96%
ацинкованная	оцинкованная	ацинкованная сетка	оцинкованная сетка	yes	97.10%
белоруский	белорусские	белоруский рубль	белорусские рубль	yes	99.97%
катер	камера	malibu катер	malibu камера	no	97.92%
ont	one	ont модем	one модем	no	98.61%
storm	sport	street storm str 9750ex	street sport str 9750ex	no	92.84%
шуроповерт	шуруповерт	аккумулятор на шуроповерт	аккумулятор на шуруповерт	yes	99.75%
sunny	sony	nissan sunny 2007	nissan sony 2007	no	98.74%
галенваген	гелинваген	запаска на галенваген	запаска на гелинваген	yes	75.35%
goclever	clever	goclever	clever	no	99.93%
osters	oysters	osters	oysters	yes	99.80%
for	ford	philips sonicare for kids	philips sonicare ford kids	no	99.67%
vektra	vectra	opel vektra c рестайл капот	opel vectra c рестайл капот	yes	98.99%
банер	бампер	банер день рождения	бампер день рождения	no	98.68%
корса	колеса	бампер опель корса	бампер опель колеса	yes	81.67%
ремонтная	ремонта	стойка ремонтная	стойка ремонта	no	99.98%
аллюминиевые	алюминиевое	аллюминиевые композитные панели	алюминиевое композитные панели	no	84.70%
бмс	бмв	аппарат бмс юность 10	аппарат бмв юность 10	no	88.97%
стяжной	натяжной	болт стяжной опалубки	болт натяжной опалубки	no	91.13%
seni	sony	seni standard air extra large 4	sony standard air extra large 4	no	88.24%
битум	битый	битум купить	битый купить	no	99.74%
пай	май	little pony интерактивная пинки пай	little pony интерактивная пинки май	no	96.71%
fitnes	fitness	gold fitnes	gold fitness	no	83.78%
bose	bosch	bose 321	bosch 321	yes	93.71%
плата	платья	junkers плата	junkers платья	no	88.99%
mersedes	mercedes	mersedes sprinter разборка 646	mercedes sprinter разборка 646	yes	81.74%
jat	jet	jat femme	jet femme	no	99.40%
sid	ssd	rock shox sid	rock shox ssd	no	97.51%
про	евро	xiaomi про	xiaomi евро	no	99.60%
fora	ford	chery fora решетка	chery ford решетка	yes	82.64%
фокс	фокус	блесна блю фокс	блесна блю фокус	no	90.39%
not	note	xiaomi not 3x	xiaomi note 3x	yes	99.81%
eko	eco	verdi pepe eko	verdi pepe eco	yes	99.60%
six	aux	rainbow six siege ps4	rainbow aux siege ps4	no	57.76%
sunny	sony	nissan sunny сидения	nissan sony сидения	no	69.05%
истоки	история	ps4 assasins creed истоки	ps4 assasins creed история	no	96.64%
matis	matiz	vuitton matis	vuitton matiz	yes	99.97%
valeo	volvo	блок розжига valeo 89015132	блок розжига volvo 89015132	no	96.06%
emmalunga	emmaljunga	emmalunga люлька переноска	emmaljunga люлька переноска	yes	93.43%
ара	пара	ара 38 5	пара 38 5	no	99.23%
volksvagen	volkswagen	багажник на крышу volksvagen touareg	багажник на крышу volkswagen touareg	yes	99.99%
hyudai	hyundai	hyudai porter	hyundai porter	yes	99.99%
атомобиль	автомобиль	атомобиль в расрочку	автомобиль в расрочку	yes	98.98%
etrex	trek	garmin etrex 10	garmin trek 10	no	77.52%
ketler	kettler	ketler giro	kettler giro	yes	74.97%
akai	kia	akai dr8	kia dr8	no	95.30%
walk	wall	walk of	wall of	no	58.36%
алюминевые	алюминиевых	алюминевые батареи	алюминиевых батареи	no	71.35%
serial	series	serial	series	no	78.88%
бассеин	бассейны	бассеин поавательный	бассейны поавательный	no	91.70%
аммортизатор	амортизатора	аммортизатор шкода октавия	амортизатора шкода октавия	yes	99.55%
lexsus	lexus	lexsus js	lexus js	yes	99.56%
решотка	решётка	решотка с1	решётка с1	yes	85.38%
ризина	резины	авто ризина 235 45r18	авто резины 235 45r18	yes	99.92%
squier	super	fender squier affinity pj	fender super affinity pj	no	98.97%
hdi	hdmi	lowrance elite 5 hdi	lowrance elite 5 hdmi	yes	51.66%
alien	klein	alien фигурка	klein фигурка	no	99.81%
воздушый	воздушный	бмх х5 воздушый	бмх х5 воздушный	yes	99.99%
spot	sport	noirot spot e-3 500	noirot sport e-3 500	no	91.37%
босаножки	босоножки	carlo pazolini босаножки	carlo pazolini босоножки	yes	99.99%
акулий	акулы	акулий плавник антенну	акулы плавник антенну	no	77.83%
котедж	коттедж	продам котедж борисоглебское	продам коттедж борисоглебское	yes	97.64%
kercher	karcher	kercher sv 1902	karcher sv 1902	yes	99.85%
bkk	bbk	bkk	bbk	yes	98.18%
tny	tiny	tny туфли новые	tiny туфли новые	no	78.03%
красоты	работы	аренда кабинета а салоне красоты	аренда кабинета а салоне работы	no	99.93%
автомобил	автомобилем	автомобил тойота авенсис	автомобилем тойота авенсис	no	93.66%
богажник	багажника	богажник на приору хетчбек	багажника на приору хетчбек	yes	99.92%
busch	bosch	emil busch	emil bosch	no	54.13%
бараба	барабан	бараба дом	барабан дом	no	97.40%
gsx	gtx	suzuki gsx 600 srad	suzuki gtx 600 srad	no	96.79%
кмз	камаз	амортизатор прицепа кмз	амортизатор прицепа камаз	yes	78.45%
белка	полка	белка литяга	полка литяга	no	99.70%
cntkmrb	стельки	cntkmrb	стельки	yes	99.96%
rolex	rover	rolex datejust 36	rover datejust 36	no	99.65%
cамокат	самокат	cамокат трюковой	самокат трюковой	yes	98.91%
жатка	сетка	жатка rsm	сетка rsm	no	99.27%
ламповый	лампой	vox ламповый	vox лампой	no	95.60%
nisan	nissan	nisan tiano	nissan tiano	yes	99.99%
ока	киа	бампера ока	бампера киа	no	90.28%
duna	donna	duna	donna	yes	92.45%
фанарь	фонари	mazda cx5 задний фанарь	mazda cx5 задний фонари	yes	79.62%
bmv	bmw	bmv m73	bmw m73	yes	99.96%
dinese	dainese	dinese	dainese	yes	97.65%
дюма	дюйма	а дюма	а дюйма	no	92.15%
audio	audi	lehmann audio	lehmann audi	no	67.85%
veb	web	veb микрофон	web микрофон	yes	94.26%
хэчбек	хетчбек	бампер передний мазда 3 хэчбек	бампер передний мазда 3 хетчбек	yes	99.49%
питон	бетон	блокиратор питон	блокиратор бетон	no	99.91%
madre	made	de puta madre	de puta made	no	99.99%
апарат	аппарат	апарат для проверки драг металов	аппарат для проверки драг металов	yes	51.61%
ztr	zte	ztr arch	zte arch	no	98.73%
-комнатная	комнатная	1-комнатная студия	1 комнатная студия	no	78.70%
bmx	bmw	bmx crysis	bmw crysis	no	94.64%
tara	mara	tara labs rsc prime rca	mara labs rsc prime rca	no	85.06%
сауна	салона	баня сауна снять	баня салона снять	no	99.79%
beefry	beefree	beefry	beefree	yes	99.92%
izzi	izi	izzi	izi	yes	63.51%
goose	google	golden goose мужские	golden google мужские	no	99.56%
куга	киа	бардачок на форд куга 2	бардачок на форд киа 2	no	98.56%
беседы	беседка	беседы	беседка	no	80.79%
ровер	номер	бампер на ровер	бампер на номер	no	99.34%
cумка	сумка	cумка женская	сумка женская	yes	94.68%
creator	cerato	lego creator 10255	lego cerato 10255	no	98.31%
бомбер	бампер	бомбер с кружевом	бампер с кружевом	no	99.99%
duel	dual	duel armor	dual armor	no	99.95%
аккомулятор	аккумулятор	аккомулятор для xiaomi 5s plus	аккумулятор для xiaomi 5s plus	yes	99.43%
ifon	ipone	ifon x	ipone x	no	57.44%
акумулятор	аккумуляторе	акумулятор asus	аккумуляторе asus	no	99.66%
vanos	lanos	vanos n46	lanos n46	no	90.74%
ампер	бампер	аккумулятор 12 ампер	аккумулятор 12 бампер	no	90.02%
двиг	двс	3 5 двиг камри	3 5 двс камри	yes	86.31%
где	гдр	где купить планшеты sony	гдр купить планшеты sony	no	98.34%
war	air	god of war	god of air	no	99.29%
ihpone	iphone	ihpone 6	iphone 6	yes	96.46%
pixie	pixel	pixie crew	pixel crew	no	85.20%
cruser	cruiser	руль для toyota land cruser 100	руль для toyota land cruiser 100	yes	99.99%
mets	matts	mets	matts	no	99.97%
storm	sport	naruto ultimate ninja storm 4	naruto ultimate ninja sport 4	yes	74.83%
canyon	canon	canyon детский	canon детский	yes	99.81%
phone	iphone	phone 7 plus	iphone 7 plus	yes	88.06%
акорд	аккорд	хонда акорд 2006-2009	хонда аккорд 2006-2009	yes	91.31%
sole	soul	mio sole 23	mio soul 23	no	99.95%
телифон	телефон	бесплатно телифон	бесплатно телефон	yes	99.98%
конвертор	конверт	аудио конвертор	аудио конверт	no	99.46%
acros	actros	acros 530	actros 530	no	84.30%
gkbnrb	плитки	erkflrf gkbnrb	erkflrf плитки	yes	99.95%
sline	line	audi q7 sline	audi q7 line	yes	97.64%
outlender	outlander	srs панель outlender	srs панель outlander	yes	99.96%
бартер	бампер	бартер на бмв 5	бампер на бмв 5	yes	97.14%
рыбки	крышки	бесплатные рыбки аквариумные	бесплатные крышки аквариумные	no	88.46%
sivik	civic	балансировочный станок sivik	балансировочный станок civic	no	99.99%
антена	антенны	антена 27	антенны 27	no	96.78%
хондай	хундай	бампер хондай салярис	бампер хундай салярис	yes	96.00%
fideliti	fidelity	fideliti	fidelity	yes	94.21%
hair	air	braun satin hair	braun satin air	no	97.34%
сузуки	сумки	блок абс сузуки гранд витара	блок абс сумки гранд витара	no	95.21%
kota	skoda	minn kota электромотор	minn skoda электромотор	no	99.99%
хаоми	сяоми	хаоми смартыфон	сяоми смартыфон	no	96.04%
hohner	honor	hohner morino	honor morino	yes	86.54%
ear	air	sennheiser in ear	sennheiser in air	no	93.35%
классик	пластик	альмера классик тормозные диски	альмера пластик тормозные диски	no	52.72%
mersedes	mercedes	mersedes 124	mercedes 124	yes	95.61%
хай	газ	monster high монстер хай	monster high монстер газ	no	99.97%
jcb	usb	jcb 8030	usb 8030	no	99.84%
cbi	cdi	ta cbi	ta cdi	no	99.65%
асти	части	асти	части	yes	88.06%
dlink	link	dlink новый	link новый	no	88.56%
plug	plus	spark plug свечи зажигания хундай	spark plus свечи зажигания хундай	no	99.95%
aprel	apple	aprel	apple	yes	64.78%
izofix	isofix	izofix в идеале	isofix в идеале	yes	99.99%
citizen	citroen	citizen caliber 8700	citroen caliber 8700	yes	68.32%
аллюминиевый	алюминиевый	аллюминиевый швелер	алюминиевый швелер	yes	99.96%
гог	ног	анри перрюшо ван гог	анри перрюшо ван ног	no	92.04%
богажник	багажники	богажник на крышу шевроле каптива	багажники на крышу шевроле каптива	no	96.55%
бирюлёво	бирюлево	3х комнатная квартира в бирюлёво купить	3х комнатная квартира в бирюлево купить	no	94.46%
nintendi	nintendo	nintendi	nintendo	yes	99.83%
jerry	kerry	jerry s	kerry s	no	96.65%
tein	twin	tein flex	twin flex	no	99.99%
бош	бак	bmw бош 0 280 001 301	bmw бак 0 280 001 301	yes	77.69%
более	больше	более 100 м	больше 100 м	no	97.73%
saphire	sapphire	saphire rx580	sapphire rx580	yes	99.99%
sunny	sony	nissan sunny пружина	nissan sony пружина	no	97.70%
любой	любого	без посредников воронежская обл в любой деревне	без посредников воронежская обл в любого деревне	no	98.87%
алюминевые	алюминиевых	алюминевые лодки прогресс	алюминиевых лодки прогресс	yes	99.99%
эскаватора	эксковатора	аренда эскаватора	аренда эксковатора	yes	78.28%
нет	нкт	без игры жизни нет	без игры жизни нкт	no	99.65%
let	led	let it be cd	led it be cd	no	53.00%
rsd	rcd	rsd 510	rcd 510	yes	90.98%
аквелла	аксела	артемон аквелла 38	артемон аксела 38	no	99.03%
compani	company	c p compani	c p company	yes	99.26%
vantage	vintage	buck vantage	buck vintage	no	89.36%
мали	малин	paola reina мали	paola reina малин	no	98.72%
sub	usb	sub n up	usb n up	no	99.99%
peres	perez	peres solingen	perez solingen	no	98.57%
гемпад	геймпад	xbox 360 гемпад джойстик	xbox 360 геймпад джойстик	yes	97.93%
gsx	gtx	gsx r рама	gtx r рама	yes	94.34%
barberry	burberry	barberry оригинал	burberry оригинал	yes	65.21%
bludo	bluboo	bludo	bluboo	no	73.25%
квартра	квартиры	2 комнатная квартра 70 м	2 комнатная квартиры 70 м	no	90.42%
avene	avent	avene spf	avent spf	yes	83.54%
акрос	актрос	акрос редуктор	актрос редуктор	yes	72.60%
razo	razor	golla razo	golla razor	yes	99.45%
том	дом	арчи том 2	арчи дом 2	yes	58.34%
r-класс	класс	mercedes-benz r-класс 2005	mercedes-benz класс 2005	no	97.77%
cabana	gabbana	puma cabana	puma gabbana	no	99.88%
аллюминий	алюминия	аллюминий плита	алюминия плита	no	97.15%
apllle	aplle	apllle watch	aplle watch	yes	99.23%
sunf	sun	sunf	sun	no	80.49%
вентелятор	вентилятора	toyota highlander 2 вентелятор	toyota highlander 2 вентилятора	yes	99.95%
англиский	английский	англиский 2 класс	английский 2 класс	yes	97.84%
бонка	банка	бонка	банка	no	71.79%
beh	deh	бинокль beh	бинокль deh	no	99.77%
scott	sport	scott рюкзак	sport рюкзак	no	93.17%
pascal	passat	bebetto pascal	bebetto passat	no	98.98%
bms	bmw	bms 18n850v2	bmw 18n850v2	no	80.04%
beck	back	beck bogert appice	back bogert appice	yes	94.21%
бобкар	бобкет	бобкар	бобкет	no	99.62%
san	sony	san marco 105	sony marco 105	no	98.82%
lbdfys	диваны	lbdfys	диваны	yes	99.93%
арк	парк	арк м3s	парк м3s	no	92.95%
playstaition	playstation	playstaition 4 обмен	playstation 4 обмен	yes	99.97%
hitec	tec	aurora hitec	aurora tec	no	98.06%
телфона	телефон	телфона samsung б у	телефон samsung б у	no	93.66%
ienovo	lenovo	ienovo s820	lenovo s820	yes	99.95%
бмх	бмв	бмх втулка задняя	бмв втулка задняя	yes	66.54%
soda	skoda	scotch soda пиджак	scotch skoda пиджак	no	97.49%
део	дэу	битые део матиз	битые дэу матиз	yes	93.67%
back	black	kilian back	kilian black	yes	93.80%
кастом	костюм	mtb кастом	mtb костюм	no	87.03%
kit	kia	973 18 kit	973 18 kia	no	97.60%
hundai	hyundai	hundai sonata катушки на	hyundai sonata катушки на	yes	51.29%
боты	болты	боты сноубордические	болты сноубордические	no	99.98%
robo	robot	herlitz green robo dragon	herlitz green robot dragon	no	97.38%
francisco	francesco	francisco	francesco	no	53.43%
devidson	davidson	devidson	davidson	yes	99.49%
oktavia	octavia	oktavia tur	octavia tur	yes	99.99%
mtn	mtb	mtn 94	mtb 94	no	97.39%
кожанный	кожаный	браслет кожанный оригинал	браслет кожаный оригинал	yes	99.79%
oktavia	octavia	oktavia a5 rs руль	octavia a5 rs руль	yes	99.99%
бундесфер	бундесвер	берцы бундесфер	берцы бундесвер	yes	98.52%
sdd	ssd	sdd 60 gb	ssd 60 gb	yes	99.84%
carrer	carrier	carrer	carrier	yes	87.09%
